target,kNN_graph,edge_metrics,fw_source,K,p,mu_used,RMSE_scaled,RelRMSE_scaled_pct,RMSE_orig,RelRMSE_orig_pct,R2,best_epoch,best_lr,source_file
BMD,2.0,l2,none,30.0,5.0,0.0017320508075688,0.5295914423517586,56.31280380214507,0.0765869293363611,7.637879780616755,0.6808444365404747,16,0.0077825627087219,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K30_p5.0_mu0.00173.csv
BMD,2.0,l2,none,400.0,10000.0,5e-13,0.5283104765864265,56.17659545727438,0.0764016848554798,7.619405674300522,0.6823865042025261,17,0.0077899894040583,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K400_p10000.0_mu5e-13.csv
BMD,2.0,l2,none,15.0,3.0,0.0081649658092772,0.5042824406807236,53.62163334213882,0.0729268615716846,7.272867658865094,0.7106202120169351,22,0.007833601469858,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K15_p3.0_mu0.00816.csv
BMD,15.0,l2,none,400.0,10000.0,5e-13,0.534941849810627,56.88172622308681,0.0773606745990594,7.715044034994369,0.6743630696409664,14,0.0077690254158553,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K400_p10000.0_mu5e-13.csv
BMD,15.0,l2,none,800.0,10000.0,3.5355339059327374e-13,0.5281221478655295,56.15656998582212,0.0763744474548342,7.616689336232523,0.6826129054748378,19,0.0078061467165669,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K800_p10000.0_mu3.54e-13.csv
BMD,15.0,l2,none,5.0,2.0,0.0282842712474619,0.5079705130091021,54.01379544452067,0.0734602097708126,7.32605753684358,0.7063719726000659,29,0.0079122321709504,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K5_p2.0_mu0.0283.csv
BMD,15.0,l2,none,10.0,3.0,0.01,0.4974078499451475,52.890640640305456,0.0719326922750615,7.173720903211283,0.7184563272625055,18,0.007797851601572,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K10_p3.0_mu0.01.csv
BMD,15.0,l2,none,15.0,5.0,0.0024494897427831,0.5080920130491487,54.02671485252076,0.073477790394031,7.327810821480713,0.7062314916753927,20,0.007814872014491,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K15_p5.0_mu0.00245.csv
BMD,15.0,l2,none,30.0,5.0,0.0017320508075688,0.5195423288400164,55.244256026789685,0.0751336654348405,7.492948327358267,0.6928416150479182,46,0.0081801699963272,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K30_p5.0_mu0.00173.csv
BMD,15.0,l2,none,1600.0,1000000.0,2.500000000000001e-18,0.5051655779205375,53.71553956897505,0.0730545815415264,7.285604946855206,0.7096057573133219,38,0.008041467058907,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K1600_p1000000.0_mu2.5e-18.csv
BMD,15.0,l2,none,200.0,100.0,7.071067811865477e-08,0.5282573721885477,56.17094873170515,0.0763939917582429,7.618638455241798,0.682450352361905,29,0.0079122321709504,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K200_p100.0_mu7.07e-08.csv
